timestamp,gearbox_oil_temp,gearbox_bearing_temp,vibration_x,vibration_y,vibration_z,oil_pressure,particle_count,is_anomaly
2025-01-01 00:00:00,60.49,67.06,0.0129,0.0119,0.0149,4.41,120,0
2025-01-01 00:10:00,59.88,67.18,0.0125,0.0115,0.0143,4.43,120,0
2025-01-01 00:20:00,60.35,66.8,0.009,0.0083,0.0104,4.31,120,0
2025-01-01 00:30:00,60.11,69.3,0.0143,0.0132,0.0165,4.33,120,0
2025-01-01 00:40:00,60.77,67.48,0.0167,0.0154,0.0192,4.35,120,0
2025-01-01 00:50:00,61.97,68.67,0.0158,0.0145,0.0182,4.38,120,0
2025-01-01 01:00:00,60.64,68.15,0.0161,0.0148,0.0185,4.32,120,0
2025-01-01 01:10:00,61.14,67.83,0.0181,0.0166,0.0208,4.39,120,0
2025-01-01 01:20:00,60.52,67.46,0.0165,0.0152,0.0189,4.37,120,0
2025-01-01 01:30:00,60.68,67.63,0.0142,0.013,0.0163,4.28,120,0
2025-01-01 01:40:00,61.86,68.36,0.0174,0.016,0.02,4.52,120,0
2025-01-01 01:50:00,62.19,68.4,0.0132,0.0121,0.0152,4.38,120,0
2025-01-01 02:00:00,60.75,66.86,0.0149,0.0137,0.0171,4.35,120,0
2025-01-01 02:10:00,62.25,68.47,0.0162,0.0149,0.0186,4.35,120,0
2025-01-01 02:20:00,61.83,68.67,0.0194,0.0178,0.0223,4.45,120,0
2025-01-01 02:30:00,62.7,70.56,0.0134,0.0123,0.0154,4.38,120,0
2025-01-01 02:40:00,62.59,70.48,0.0169,0.0156,0.0195,4.36,120,0
2025-01-01 02:50:00,61.88,69.92,0.0117,0.0108,0.0134,4.45,120,0
2025-01-01 03:00:00,62.19,70.82,0.0132,0.0122,0.0152,4.48,120,0
2025-01-01 03:10:00,62.82,70.61,0.0157,0.0145,0.0181,4.34,120,0
2025-01-01 03:20:00,62.05,68.74,0.0153,0.0141,0.0176,4.36,120,0
2025-01-01 03:30:00,62.7,71.01,0.0142,0.0131,0.0164,4.37,120,0
2025-01-01 03:40:00,61.51,68.48,0.0177,0.0163,0.0204,4.41,120,0
2025-01-01 03:50:00,62.08,68.49,0.0122,0.0112,0.014,4.46,120,0
2025-01-01 04:00:00,61.4,67.6,0.013,0.0119,0.0149,4.42,120,0
2025-01-01 04:10:00,63.11,69.76,0.0161,0.0148,0.0185,4.49,120,0
2025-01-01 04:20:00,62.2,70.08,0.016,0.0147,0.0184,4.43,120,0
2025-01-01 04:30:00,64.03,70.9,0.0152,0.014,0.0175,4.3,120,0
2025-01-01 04:40:00,63.52,71.65,0.0174,0.016,0.02,4.33,120,0
2025-01-01 04:50:00,63.08,69.31,0.0178,0.0164,0.0205,4.38,120,0
2025-01-01 05:00:00,63.27,70.57,0.0168,0.0155,0.0194,4.34,120,0
2025-01-01 05:10:00,63.35,70.82,0.0181,0.0167,0.0208,4.45,120,0
2025-01-01 05:20:00,63.98,72.11,0.0115,0.0106,0.0132,4.39,120,0
2025-01-01 05:30:00,63.24,69.98,0.0155,0.0142,0.0178,4.37,121,0
2025-01-01 05:40:00,63.54,71.29,0.0122,0.0113,0.0141,4.52,121,0
2025-01-01 05:50:00,62.67,69.19,0.0151,0.0139,0.0174,4.41,121,0
2025-01-01 06:00:00,62.25,68.6,0.0161,0.0148,0.0185,4.42,121,0
2025-01-01 06:10:00,63.72,71.49,0.0137,0.0126,0.0157,4.37,121,0
2025-01-01 06:20:00,63.82,70.62,0.0126,0.0116,0.0145,4.38,121,0
2025-01-01 06:30:00,62.98,71.43,0.0197,0.0181,0.0226,4.44,121,0
2025-01-01 06:40:00,63.71,70.33,0.0131,0.012,0.015,4.39,121,0
2025-01-01 06:50:00,63.69,70.91,0.0158,0.0145,0.0182,4.37,121,0
2025-01-01 07:00:00,63.44,69.92,0.0129,0.0118,0.0148,4.43,121,0
2025-01-01 07:10:00,62.97,69.51,0.0169,0.0156,0.0194,4.4,121,0
2025-01-01 07:20:00,63.68,70.89,0.0189,0.0174,0.0218,4.43,121,0
2025-01-01 07:30:00,62.64,68.96,0.0139,0.0128,0.016,4.44,121,0
2025-01-01 07:40:00,63.45,70.37,0.0119,0.0109,0.0137,4.38,121,0
2025-01-01 07:50:00,63.24,71.62,0.0165,0.0152,0.0189,4.44,121,0
2025-01-01 08:00:00,62.36,68.83,0.0181,0.0167,0.0209,4.41,121,0
2025-01-01 08:10:00,63.73,71.87,0.0142,0.0131,0.0163,4.37,121,0
2025-01-01 08:20:00,61.57,68.81,0.0148,0.0136,0.017,4.42,121,0
2025-01-01 08:30:00,62.5,71.03,0.013,0.0119,0.0149,4.38,121,0
2025-01-01 08:40:00,61.53,68.75,0.0154,0.0142,0.0177,4.38,121,0
2025-01-01 08:50:00,63.86,71.93,0.0141,0.0129,0.0162,4.31,121,0
2025-01-01 09:00:00,62.6,69.15,0.0149,0.0137,0.0171,4.39,121,0
2025-01-01 09:10:00,62.84,70.61,0.0146,0.0134,0.0168,4.39,121,0
